date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
8/25/20,5740909,38298,43226.286,177279,473,968.857,17343.997,115.703,130.592,535.582,1.429,2.927
8/26/20,5779028,38119,42373.143,178486,1207,952.143,17459.159,115.162,128.015,539.228,3.646,2.877
8/27/20,5821876,42848,41719.143,179714,1228,933.857,17588.609,129.449,126.039,542.938,3.71,2.821
8/28/20,5867785,45909,41991.143,180824,1110,938.429,17727.305,138.697,126.86,546.292,3.353,2.835
8/29/20,5917439,49654,41958.857,181773,949,909.571,17877.316,150.011,126.763,549.159,2.867,2.748
8/30/20,5961582,44143,41925.286,182779,1006,916.714,18010.678,133.361,126.661,552.198,3.039,2.77
8/31/20,5997163,35581,42078.857,183069,290,894.714,18118.172,107.495,127.125,553.074,0.876,2.703
9/1/20,6031013,33850,41443.429,183598,529,902.714,18220.437,102.265,125.206,554.672,1.598,2.727
9/2/20,6075652,44639,42374.857,184689,1091,886.143,18355.297,134.86,128.02,557.968,3.296,2.677
9/3/20,6114406,38754,41790,185744,1055,861.429,18472.378,117.081,126.253,561.156,3.187,2.602
9/4/20,6150655,36249,40410,186797,1053,853.286,18581.891,109.513,122.084,564.337,3.181,2.578
9/5/20,6201726,51071,40612.429,187765,968,856,18736.182,154.292,122.695,567.261,2.924,2.586
9/6/20,6245866,44140,40612,188538,773,822.714,18869.535,133.352,122.694,569.597,2.335,2.486
9/7/20,6276421,30555,39894,188941,403,838.857,18961.845,92.31,120.525,570.814,1.218,2.534
9/8/20,6300671,24250,38522.571,189208,267,801.429,19035.108,73.262,116.381,571.621,0.807,2.421
9/9/20,6327793,27122,36020.143,189679,471,712.857,19117.047,81.939,108.821,573.044,1.423,2.154
9/10/20,6359720,31927,35044.857,190815,1136,724.429,19213.502,96.455,105.875,576.476,3.432,2.189
9/11/20,6397227,37507,35224.571,191789,974,713.143,19326.815,113.313,106.418,579.418,2.943,2.154
9/12/20,6445288,48061,34794.571,193016,1227,750.143,19472.013,145.198,105.119,583.125,3.707,2.266
9/13/20,6486108,40820,34320.286,193701,685,737.571,19595.336,123.322,103.686,585.195,2.069,2.228
9/14/20,6519979,33871,34794,194079,378,734,19697.664,102.328,105.117,586.337,1.142,2.218
9/15/20,6554820,34841,36307,194530,451,760.286,19802.923,105.259,109.688,587.699,1.363,2.297
9/16/20,6606293,51473,39785.714,195937,1407,894,19958.43,155.506,120.198,591.95,4.251,2.701
9/17/20,6630891,24598,38738.714,196802,865,855.286,20032.743,74.314,117.034,594.563,2.613,2.584
9/18/20,6674458,43567,39604.429,197633,831,834.857,20164.364,131.621,119.65,597.074,2.511,2.522
9/19/20,6724667,50209,39911.286,198589,956,796.143,20316.052,151.688,120.577,599.962,2.888,2.405
9/20/20,6764962,40295,39836.286,199258,669,793.857,20437.788,121.736,120.35,601.983,2.021,2.398
9/21/20,6804814,39852,40690.714,199509,251,775.714,20558.186,120.398,122.932,602.741,0.758,2.344
9/22/20,6857967,53153,43306.714,199881,372,764.429,20718.768,160.582,130.835,603.865,1.124,2.309
9/23/20,6896274,38307,41425.857,200807,926,695.714,20834.498,115.73,125.153,606.663,2.798,2.102
